unique_fov,Marker,r,Theoretical G,Observed G,Permuted G,Degree of Clustering Permutation,Degree of Clustering Theoretical,Run
Lung9_Rep1_F02,a,20,0.03537596591443015,0.0036496350364963502,5.185271331121571e-4,0.003131107903384193,-0.0317263308779338,1
Lung9_Rep1_F02,a,30,0.0778412820589689,0.05719557195571956,0.008256309723296324,0.04893926223242324,-0.020645710103249337,1
Lung9_Rep1_F02,a,40,0.13417063000057605,0.22014925373134328,0.04631426046104789,0.1738349932702954,0.08597862373076723,1
Lung9_Rep1_F02,a,50,0.20156789820564058,0.469811320754717,0.12358279767026059,0.3462285230844564,0.2682434225490764,1
Lung9_Rep1_F02,a,60,0.27685946626940183,0.7150943396226415,0.22817579612488587,0.4869185434977556,0.43823487335323963,1
Lung9_Rep1_F02,a,70,0.3567401276861426,0.8257575757575758,0.33232496599025024,0.49343260976732556,0.4690174480714332,1
Lung9_Rep1_F02,a,80,0.43800913780796147,0.8771593090211133,0.4247967032046814,0.4523626058164319,0.4391501712131518,1
Lung9_Rep1_F02,a,90,0.5177734838076249,0.9129593810444874,0.5137469982763158,0.3992123827681716,0.3951858972368625,1
Lung9_Rep1_F02,a,100,0.5936016279627302,0.9284332688588007,0.5901923081272453,0.3382409607315554,0.33483164089607054,1
Lung9_Rep1_F02,a,110,0.6636186795209591,0.9455252918287937,0.6599781340240016,0.2855471578047921,0.28190661230783465,1
Lung9_Rep1_F02,a,120,0.7265418812331472,0.95874263261296655,0.7243166206165668,0.23442601199639979,0.23220075137981933,1
Lung9_Rep1_F02,a,130,0.7816622594802501,0.9642857142857143,0.7808069151572361,0.1834787991284782,0.18262345480546416,1
Lung9_Rep1_F02,a,140,0.8287834109886048,0.9660678642714571,0.82743662558597,0.1386312386854871,0.13728445328285233,1
Lung9_Rep1_F02,a,150,0.8681312440625398,0.967479674796748,0.8649806973781624,0.1024989774185856,0.09934843073420818,1
Lung9_Rep1_F02,a,160,0.9002490555076111,0.9775051124744376,0.8985304175758723,0.07897469489856535,0.07725605696682647,1
Lung9_Rep1_F02,a,170,0.9258909641545152,0.9774127310061602,0.9247016425409472,0.052711088465212996,0.051521766851645,1
Lung9_Rep1_F02,a,180,0.945924026193793,0.9854771784232366,0.9457231926245406,0.039753985798695934,0.039553152229443556,1
